environment,file,label,inferred_state,confidence,correct,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,duration,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,pitch_delta,energy_delta,speech_rate_delta,spectral_centroid_delta,thickness_score_delta,pitch_std_delta,pitch_velocity_delta,main_freq_velocity_mean_delta,main_freq_jump_ratio_delta,main_freq_smoothness_delta
outside,happy_21.wav,happy,happy,0.55,True,157.9438477390218,76.29843330222732,23.76940818661332,0.09899669885635376,3.6283355730466504,1327.6411399971485,4.960952380952381,2185.6201171875,1528.5937775695766,0.07356846889602804,0.41836288571357727,0.3325188457965851,0.19934527575969696,0.12983002349535233,54.98991935483871,0.1956989247311828,0.009884841068958218,34.73464412054781,0.032346754645307854,0.3485489018999006,256.24754995827766,-0.30233086504512335,12.465535121838833,13.85563196987867,17.699020591401478,0.06573126590968556,-0.006843421685768352
outside,happy_3.wav,happy,stressed,0.5,False,110.58320219257622,70.82150965342417,15.969360864225715,0.06838656216859818,3.4340445413486997,974.5418298761008,5.824036281179138,1697.0909331424302,1403.9277076807405,0.040406732445219126,0.44228383898735046,0.3147832453250885,0.14924414455890656,0.503985032961781,40.788442645958085,0.12375249500998003,0.013169062990303248,-12.626001425897769,0.0017366179575522694,0.15425787020194992,-96.85176016277,0.0718241444213053,6.988611473035682,6.055584647491067,3.4975438825208514,-0.00621516381151721,-0.0035591997644233223
outside,happy_4 from trash.wav,happy,happy,0.95,True,137.29079303426983,83.11629351095377,17.606561737069267,0.09433216601610184,4.202983936647663,1520.2866911362314,5.23437641723356,2805.9383426092368,2013.0531500051122,0.06521363384955753,0.4234735071659088,0.29127514362335205,0.21125678718090057,0.004352599197750995,50.27104591836735,0.1326530612244898,0.010667408367861978,14.081589415795833,0.02768222180505593,0.9231972655009133,448.8931010973606,-0.4278082893427247,19.283395330565277,7.692785520334619,12.980147154930116,0.0026854024029925594,-0.006060854386864592
outside,stressed_1.wav,stressed,happy,0.75,False,108.33784265323601,66.10753862138272,19.68173215185551,0.0817738026380539,4.425933360096347,1034.7681904467815,4.970702947845805,1854.3092523619187,1445.2739861910795,0.04283248546511628,0.48668017983436584,0.2127908319234848,0.18337030708789825,0.3924343289288377,27.318993684287385,0.09813084112149532,0.020659746568836276,-14.871360965237983,0.015123858427007988,1.1461466889495973,-36.62539959208925,-0.03972655961163801,2.274640440994226,9.767955935120861,-9.971905079149849,-0.03183681770000192,0.003931483814109706
outside,stressed_13.wav,stressed,stressed,0.95,True,140.66003091250028,72.83730962742021,20.594382570015973,0.07838129997253418,3.2969497607655502,1030.834954404807,5.156281179138322,1836.1159525644618,1358.189595779,0.04856756235986547,0.4598604738712311,0.3290095627307892,0.15847374498844147,0.4775393812801211,40.37267080745342,0.09730848861283643,0.01311091919240002,17.450827294026283,0.011731355761488274,0.01716308961880042,-40.558635634063876,0.04537849273964539,9.004411447031721,10.680606353281325,3.0817720440161835,-0.03265917020866081,-0.00361734356232655
outside,stressed_14.wav,stressed,stressed,0.95,True,162.84585064114682,80.18024513118291,9.565278169352045,0.10839011520147324,3.0814628482972135,959.3981393532025,4.218775510204082,1567.7828275240386,1459.8659850545823,0.04130000858516483,0.5466668605804443,0.2986212968826294,0.12157972902059555,0.735747024162479,41.35680379746835,0.13164556962025317,0.012973088661100696,39.63664702267283,0.04174017099042733,-0.1983238228495363,-111.99545068566829,0.30358613562200326,16.347346950794424,-0.3484980473826038,4.065905034031118,0.0016779107987559272,-0.0037551740936258744
outside,stressed_15.wav,stressed,happy,0.75,False,172.95526138918777,82.94508921538134,15.43728161441958,0.11087679862976074,3.8175207756232687,1131.6466885909374,4.453151927437641,1815.966796875,1471.7477635778148,0.04938507080078125,0.4150189459323883,0.3889363706111908,0.16839441657066345,0.42811657869607334,42.71582733812949,0.11270983213429256,0.012519373429435576,49.746057770713776,0.04422685441871484,0.5377341044765189,60.253098552066604,-0.0040443098444023495,19.112191034992854,5.523505397684932,5.4249285746922595,-0.017257826687204686,-0.004208889325290994
outside,stressed_16.wav,stressed,stressed,0.55,True,134.18922495472367,65.18060348770423,15.672875448320573,0.0829928070306778,3.4496245306633293,1164.357936784236,5.507845804988662,1897.7718577665441,1457.1795355444092,0.05804802389705882,0.46362462639808655,0.24958284199237823,0.23415036499500275,0.2322651091290649,34.520348837209305,0.10271317829457365,0.01562855625521584,10.980021336249678,0.01634286281963189,0.16983785951657948,92.96434674536522,-0.1998957794114108,1.3477053073157421,5.759099231585925,-2.770549926227929,-0.0272544805269236,-0.0010997064995107303
outside,stressed_17.wav,stressed,happy,0.95,False,151.4804356894469,78.47633211159072,15.036646778265107,0.09447009116411209,3.678138678338849,1030.3045859245883,6.7969160997732425,1811.5082724509386,1274.162888105547,0.05252939686433447,0.48326995968818665,0.2769640386104584,0.18801040947437286,0.41573992067159327,38.8907967032967,0.08791208791208792,0.013373179520741834,28.2712320709729,0.027820146953066185,0.3983520071920994,-41.08900411428249,-0.01642096786888242,14.643433931202232,5.122870561530458,1.599897939859467,-0.042055570909409326,-0.003355083233984736
outside,stressed_18.wav,stressed,stressed,0.85,True,144.1441987704669,79.24198591080957,10.309153923884562,0.07912921160459518,2.607391640866873,1265.2063680404513,4.218775510204082,2241.346153846154,1674.1790792851855,0.05258950034340659,0.4654894769191742,0.32179275155067444,0.16488786041736603,0.3560853507258993,24.68354430379747,0.060759493670886074,0.021724521760706324,20.934995151992894,0.012479267393549279,-0.6723950302798767,193.81277800158045,-0.07607553781457638,15.409087730421085,0.3953777071499136,-12.607354459639765,-0.06920816515061118,0.004996259005979754
