environment,file,label,main_freq_mean,main_freq_std,main_freq_velocity_mean,main_freq_velocity_std,main_freq_range,main_freq_jump_count,main_freq_jump_ratio,main_freq_smoothness,peak_energy_mean,num_frames
outside,tired_14.wav,tired,161.338021609538,115.5905992173633,33.47714552238806,92.45576971128443,1125.0,58,0.08656716417910448,0.015576160790682246,33.21999907557993,671
outside,tired_15.wav,tired,157.52600154083206,107.7484223357807,24.486400462962962,58.70722634770207,562.5,52,0.08024691358024691,0.02184648371221394,30.05269458745384,649
outside,tired_16.wav,tired,162.81543427230048,130.51157408995186,29.609130094043888,108.44823995266968,1710.9375,43,0.06739811912225706,0.018911125872542872,31.331718770412916,639
outside,tired_17.wav,tired,190.16335227272728,184.34592414632448,35.07290184921764,139.97265206131718,1921.875,49,0.06970128022759602,0.014953928002268652,42.16693501942989,704
outside,tired_18.wav,tired,146.2296195652174,81.7101273279248,19.21410891089109,61.35379374076373,867.1875,25,0.04950495049504951,0.026564414752737478,31.091886418827638,506
outside,tired_19.wav,tired,169.77272727272728,151.40286174022657,28.81659836065574,133.7212834332647,1875.0,30,0.0546448087431694,0.018035845419969023,43.57305005199382,550
outside,tired_2.wav,tired,122.97169360997964,141.98276598539084,23.2470703125,100.20908301238914,1550.390625,39,0.07959183673469387,0.02218317224998279,24.994208014788306,491
outside,tired_20.wav,tired,187.09450692041523,153.36134244702302,38.019930675909876,118.48275219853474,1242.1875,50,0.08665511265164645,0.013895925309401461,33.79881802451866,578
outside,tired_21.wav,tired,148.109243697479,95.50288662459208,22.911553295932677,51.717071120490495,445.3125,51,0.07152875175315568,0.022596808042178593,25.588836343762665,714
outside,tired_3.wav,tired,118.603515625,56.647354252403545,15.240199428429424,36.66142388445325,387.59765625,32,0.0636182902584493,0.03352855479071787,28.9568525439217,504
cafe,happy_1.wav,happy,165.95354523227383,81.07679712502433,25.965073529411764,69.34124392586111,609.375,39,0.09558823529411764,0.019394690286572036,18.967885795607252,409
cafe,happy_13.wav,happy,252.79017857142858,173.90874177462644,32.675081433224754,95.6705020225196,773.4375,29,0.09446254071661238,0.016137325475616027,52.92009346783403,308
cafe,happy_14.wav,happy,258.9962121212121,185.8241793650483,44.798259493670884,102.84614241683755,914.0625,60,0.1518987341772152,0.011890323834025867,44.15249904243257,396
cafe,happy_15.wav,happy,281.99110671936756,194.56237084302495,47.524752475247524,105.96963303200938,1078.125,87,0.17227722772277226,0.011320850074545776,54.13844384110934,506
cafe,happy_16.wav,happy,261.1011610671937,228.60922411695674,41.21287128712871,113.31564783430042,960.9375,68,0.13465346534653466,0.012880472283983747,47.714013656722784,506
cafe,happy_17.wav,happy,304.6248328877005,226.81122247830044,46.30948391420912,102.47678092363289,1125.0,69,0.18498659517426275,0.01149418628229119,60.11928752198178,374
cafe,happy_18.wav,happy,323.4711423444976,242.72249529367235,47.66187050359712,120.38428586074951,914.0625,60,0.14388489208633093,0.011445649501058414,56.24749247560892,418
cafe,happy_19.wav,happy,306.61843039772725,198.25530578547568,39.66346153846154,84.651002301106,890.625,56,0.15954415954415954,0.013502923624088252,61.74276511187517,352
cafe,happy_2.wav,happy,237.72321428571428,97.33146943839321,49.0889657980456,76.68194083201806,445.3125,64,0.20846905537459284,0.010780674056360729,17.731356363791924,308
cafe,happy_20.wav,happy,313.21022727272725,209.43155998726255,45.62895569620253,95.55629995874159,914.0625,72,0.18227848101265823,0.011790251721126133,60.80592674383837,396
cafe,happy_21.wav,happy,370.3327922077922,205.75478191330228,70.97342733188721,146.601549822939,1546.875,99,0.21475054229934923,0.007517990571867803,60.19174417081587,462
cafe,happy_3.wav,happy,246.913243006993,74.62144209106063,31.99013157894737,62.27419823732063,468.75,41,0.14385964912280702,0.01675707768955891,23.33517992246401,286
cafe,stressed_1.wav,stressed,160.7333096590909,68.47858865546968,23.771367521367523,58.7961085671359,515.625,26,0.07407407407407407,0.02130492676431425,20.36794937198812,352
