start_sec,end_sec,label,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,main_freq_std,main_freq_range
18.0,20.5,neutral,71.25158324201891,27.109736307185198,5.03412696722073,0.058123499155044556,4.4,1417.177166763036,2163.9295212765956,2744.4218004639315,0.01925282579787234,0.5121334195137024,0.23859499394893646,0.12477410584688187,0.5356159734177033,40.56490384615385,0.1282051282051282,0.012811965165751362,172.65959059882138,843.75
19.0,21.5,neutral,75.61598593018874,30.795087679040897,5.043894882873601,0.06602264195680618,4.0,1485.4102137277469,2483.4773936170213,2695.5305682311964,0.021712932180851064,0.5505498051643372,0.19699138402938843,0.13900911808013916,0.4823987752318688,32.65224358974359,0.10683760683760683,0.01621906174816078,149.3844841846891,445.3125
20.0,22.5,neutral,77.97580382996293,28.338208415709254,6.512417312519745,0.07430712133646011,7.2,1657.0046809582882,2800.8311170212764,2855.8051139629424,0.025004155585106384,0.5430280566215515,0.21517258882522583,0.1442577987909317,0.39347981729759307,38.16105769230769,0.13247863247863248,0.013866313561686126,158.75435449777925,468.75
21.0,23.5,neutral,75.28038217124623,17.213278626553556,5.600192667347311,0.07345782220363617,7.2,1543.0096599102044,2404.5877659574467,2856.598242442804,0.02141373005319149,0.5477563738822937,0.23370207846164703,0.12137604504823685,0.5383351438776478,37.56009615384615,0.13247863247863248,0.013327232168392154,135.13848678563727,468.75
22.0,24.5,neutral,72.39625304654257,21.74408480131141,4.885695715603754,0.06871054321527481,7.6,1323.2646462595615,1897.340425531915,2688.7168023902595,0.015965757978723405,0.5242387652397156,0.23584066331386566,0.12854664027690887,0.6212904138421425,32.05128205128205,0.10256410256410256,0.015756351356491675,137.02237937002548,445.3125
23.0,25.5,neutral,83.89398653848258,30.568984792936373,7.502385605855131,0.08348403126001358,8.0,1449.343457321995,2242.4202127659573,2691.5856827934044,0.021725398936170214,0.5278849005699158,0.21296365559101105,0.14437367022037506,0.4881543048876749,33.35336538461539,0.12393162393162394,0.01616631179993322,178.10093041613138,679.6875
24.0,26.5,neutral,87.54183815288289,24.239404153589593,4.866374928253714,0.08945177495479584,8.0,1454.4473099133597,2231.648936170213,2675.753725665348,0.02278299534574468,0.5411438345909119,0.21435630321502686,0.14175620675086975,0.5139984705563142,49.57932692307692,0.18803418803418803,0.011009943798489677,178.83345627398555,890.625
25.0,27.5,neutral,76.96259725021287,28.924522137807767,5.958728190444501,0.05840176343917847,7.6,1385.5027348684712,2163.8297872340427,2693.550865339568,0.0181391289893617,0.5215216875076294,0.235601007938385,0.11962761729955673,0.567862051917006,42.868589743589745,0.1623931623931624,0.012632877334354446,158.18668060314388,468.75
26.0,28.5,neutral,62.41817763108852,26.586183537117197,4.428758337608722,0.037377841770648956,4.4,1240.2533121536742,1838.1981382978724,2678.471281350381,0.01300282579787234,0.4533005952835083,0.2513495087623596,0.12273386120796204,0.5426471811665554,28.74599358974359,0.08547008547008547,0.01848032994923858,116.0607757157612,468.75
46.0,48.5,neutral,84.09774344667541,43.70994681418282,5.177568405172867,0.0883118137717247,7.2,1449.2029168313045,1984.0093085106382,2728.8978620397224,0.02323803191489362,0.5341222882270813,0.1758241504430771,0.13594484329223633,0.48925680718905995,28.645833333333332,0.1111111111111111,0.01814306154430158,148.56743988003535,445.3125
47.0,49.5,neutral,97.25314183594317,58.59554776026098,9.868815340318172,0.08917312324047089,6.4,1718.1945201022518,2556.083776595745,2866.465191624704,0.029552443484042554,0.49188515543937683,0.20216698944568634,0.1472170650959015,0.2682420396025446,28.545673076923077,0.10683760683760683,0.01848032994923858,152.18003127405302,703.125
48.0,50.5,neutral,96.77003573698177,51.85939635780809,12.440548747314777,0.08869102597236633,6.0,1744.197586529832,2716.25664893617,2853.947898170666,0.030167470079787234,0.48068171739578247,0.23265889286994934,0.13532257080078125,0.266022586612799,37.05929487179487,0.13675213675213677,0.014284728980986903,162.023285616325,703.125
49.0,51.5,neutral,97.23749497872106,46.2428626798066,7.83651522318072,0.09201231598854065,6.8,1796.5001076984593,2797.1409574468084,2834.9677586650732,0.03339012632978723,0.5007104873657227,0.22813300788402557,0.1333778202533722,0.26590949106942485,35.35657051282051,0.1282051282051282,0.015178967683619501,162.6891220984269,703.125
50.0,52.5,neutral,82.4680645915898,23.582924936338237,4.271285029793361,0.09227769821882248,5.6,1380.2805937177839,2134.308510638298,2516.662068783345,0.023279587765957448,0.48894035816192627,0.29852771759033203,0.12471920996904373,0.552152146060076,40.26442307692308,0.13675213675213677,0.012795474905012134,199.55418686892045,726.5625
51.0,53.5,neutral,84.76902937338167,24.291432172844427,3.9595828169738216,0.10199680179357529,6.0,1611.1131979292222,2560.771276595745,2529.8288533170494,0.030780418882978722,0.4905942976474762,0.2854294180870056,0.12555791437625885,0.40192483904789406,39.26282051282051,0.13675213675213677,0.013656778201906382,205.28318813346584,726.5625
52.0,54.5,neutral,81.82020201314442,23.79851850504556,2.7217945824699665,0.0994584932923317,6.0,1586.304096779945,2390.425531914894,2718.079227835822,0.02703623670212766,0.5532693862915039,0.2278537005186081,0.115458182990551,0.5132598358587974,34.15464743589744,0.13247863247863248,0.015342952859929707,186.31894111409,726.5625
53.0,55.5,neutral,73.49705703218626,22.234571049305412,3.0623506155502214,0.0837361291050911,5.6,1459.5768630091893,2333.5771276595747,2846.1867637299724,0.019200880984042552,0.5897694826126099,0.19639943540096283,0.10651389509439468,0.629087474132483,33.5536858974359,0.1282051282051282,0.015657089578879728,168.72347290368464,585.9375
54.0,56.5,neutral,79.94644087381806,28.978725806404537,7.404995101580512,0.08849690109491348,8.0,1614.8156945701946,2608.1449468085107,2933.4423723174627,0.025895528590425532,0.546785295009613,0.21483536064624786,0.12215670943260193,0.4507574131448912,36.7588141025641,0.1282051282051282,0.014577989113433023,169.31110266956242,585.9375
55.0,57.5,neutral,91.38358592002038,19.158406338749774,4.663254388803938,0.12238415330648422,8.8,1543.0512304205017,2361.2034574468084,2804.7941131309485,0.02670171210106383,0.5341092944145203,0.2549595832824707,0.1178964152932167,0.5190044347045181,38.86217948717949,0.15384615384615385,0.014162627076146916,156.15070832270337,750.0
